content,labels,user,admin,history
"Điều tôi mừng nhất là Việt Nam không có pha phạm lỗi nào xung quanh cấm địa, khu vực đối thủ có thể sút phạt thành bàn. Đó là một bước tiến lớn so với AFF Cup 2018 và Asian Cup 2019, những giải đấu mà Việt Nam thường thua ở các tình huống cố định. Thái Lan có những cầu thủ sút phạt tốt nhưng không có cơ hội thể hiện thế mạnh này. Đầu hiệp một, tôi nhớ có một tình huống Quế Ngọc Hải bị đồng đội chuyền khó và có nguy cơ mất bóng. Tuy nhiên, cậu ấy đã tỉnh táo phạm lỗi chiến thuật từ xa, thay vì cố tranh chấp để Thái Lan dẫn bóng vào sâu hơn."," negative","user","",
"Điều tôi mừng nhất là Việt Nam không có pha phạm lỗi nào xung quanh cấm địa, khu vực đối thủ có thể sút phạt thành bàn. Đó là một bước tiến lớn so với AFF Cup 2018 và Asian Cup 2019, những giải đấu mà Việt Nam thường thua ở các tình huống cố định. Thái Lan có những cầu thủ sút phạt tốt nhưng không có cơ hội thể hiện thế mạnh này. Đầu hiệp một, tôi nhớ có một tình huống Quế Ngọc Hải bị đồng đội chuyền khó và có nguy cơ mất bóng. Tuy nhiên, cậu ấy đã tỉnh táo phạm lỗi chiến thuật từ xa, thay vì cố tranh chấp để Thái Lan dẫn bóng vào sâu hơn."," negative","user","",
"Toàn bộ cầu thủ, cả chính thức lẫn vào sân từ ghế dự bị, đều chơi cố gắng tới phút cuối. Tôi hài lòng với tinh thần chiến đấu của Việt Nam. Duy chỉ hơi đáng tiếc ở vị trí tiền đạo. Nếu Công Phượng đá chính, làm nhiệm vụ quấy phá, hàng thủ Thái Lan có thể xuống sức và bộc lộ nhiều sơ hở hơn vào cuối trận. Việt Nam hoàn toàn có thể tận dụng tốc độ vào lúc này để tìm bàn thắng. Dù vậy, một điểm ở trận ra quân vòng loại World Cup 2022 vẫn là kết quả làm đông đảo người hâm mộ hài lòng."," positive, negative","user","admin1"," positive"
"Để Tuấn Anh đá chính đã là nước cờ cao của Park. Ai cũng biết là Việt Nam sẽ chơi phản công, và số đông tin Việt Nam sẽ để Huy Hùng hoặc Đức Huy - những người có thiên hướng phòng ngự, tranh chấp tốt - đá cặp với Hùng Dũng. Nhưng qua 90 phút ở sân Thammasat, chúng ta đều công nhận rằng kỹ năng phòng ngự của Tuấn Anh không tồi. Cậu ấy có thể không quá mạnh mẽ khi tranh chấp, hoặc có những pha tắc bóng quyết liệt, nhưng bù lại, Tuấn Anh đọc trận đấu tốt và biết cách che chắn cho hàng thủ, lúc cần cũng sẵn sàng phạm lỗi để chặn đà hưng phấn của Thái Lan.",,"","",
"Trong bóng đá, khó có thể nói rạch ròi về chuyện phòng ngự hay tấn công. Khi cần giữ tỷ số, không phải lúc nào một đội cũng bố trí dày đặc cầu thủ ở phía dưới. Đá với Thái Lan như thế rất nguy hiểm bởi sức ép từ khán đài và những tiểu xảo của đối thủ có thể khiến hậu vệ bị phân tâm. Dùng Tuấn Anh, một tiền vệ cầm được bóng và biết điều tiết nhịp độ trận đấu, là cách lưỡng toàn của ông Park. Chúng ta vừa có thể phòng ngự một cách chủ động, vừa có thể phản công bất cứ lúc nào.",,"","",
"Điều tôi mừng nhất là Việt Nam không có pha phạm lỗi nào xung quanh cấm địa, khu vực đối thủ có thể sút phạt thành bàn. Đó là một bước tiến lớn so với AFF Cup 2018 và Asian Cup 2019, những giải đấu mà Việt Nam thường thua ở các tình huống cố định. Thái Lan có những cầu thủ sút phạt tốt nhưng không có cơ hội thể hiện thế mạnh này. Đầu hiệp một, tôi nhớ có một tình huống Quế Ngọc Hải bị đồng đội chuyền khó và có nguy cơ mất bóng. Tuy nhiên, cậu ấy đã tỉnh táo phạm lỗi chiến thuật từ xa, thay vì cố tranh chấp để Thái Lan dẫn bóng vào sâu hơn.",,"","",
"Điều tôi mừng nhất là Việt Nam không có pha phạm lỗi nào xung quanh cấm địa, khu vực đối thủ có thể sút phạt thành bàn. Đó là một bước tiến lớn so với AFF Cup 2018 và Asian Cup 2019, những giải đấu mà Việt Nam thường thua ở các tình huống cố định. Thái Lan có những cầu thủ sút phạt tốt nhưng không có cơ hội thể hiện thế mạnh này. Đầu hiệp một, tôi nhớ có một tình huống Quế Ngọc Hải bị đồng đội chuyền khó và có nguy cơ mất bóng. Tuy nhiên, cậu ấy đã tỉnh táo phạm lỗi chiến thuật từ xa, thay vì cố tranh chấp để Thái Lan dẫn bóng vào sâu hơn.",,"","",
"Toàn bộ cầu thủ, cả chính thức lẫn vào sân từ ghế dự bị, đều chơi cố gắng tới phút cuối. Tôi hài lòng với tinh thần chiến đấu của Việt Nam. Duy chỉ hơi đáng tiếc ở vị trí tiền đạo. Nếu Công Phượng đá chính, làm nhiệm vụ quấy phá, hàng thủ Thái Lan có thể xuống sức và bộc lộ nhiều sơ hở hơn vào cuối trận. Việt Nam hoàn toàn có thể tận dụng tốc độ vào lúc này để tìm bàn thắng. Dù vậy, một điểm ở trận ra quân vòng loại World Cup 2022 vẫn là kết quả làm đông đảo người hâm mộ hài lòng."," positive","user","",
"Để Tuấn Anh đá chính đã là nước cờ cao của Park. Ai cũng biết là Việt Nam sẽ chơi phản công, và số đông tin Việt Nam sẽ để Huy Hùng hoặc Đức Huy - những người có thiên hướng phòng ngự, tranh chấp tốt - đá cặp với Hùng Dũng. Nhưng qua 90 phút ở sân Thammasat, chúng ta đều công nhận rằng kỹ năng phòng ngự của Tuấn Anh không tồi. Cậu ấy có thể không quá mạnh mẽ khi tranh chấp, hoặc có những pha tắc bóng quyết liệt, nhưng bù lại, Tuấn Anh đọc trận đấu tốt và biết cách che chắn cho hàng thủ, lúc cần cũng sẵn sàng phạm lỗi để chặn đà hưng phấn của Thái Lan."," negative","chikimanh","",
"Trong bóng đá, khó có thể nói rạch ròi về chuyện phòng ngự hay tấn công. Khi cần giữ tỷ số, không phải lúc nào một đội cũng bố trí dày đặc cầu thủ ở phía dưới. Đá với Thái Lan như thế rất nguy hiểm bởi sức ép từ khán đài và những tiểu xảo của đối thủ có thể khiến hậu vệ bị phân tâm. Dùng Tuấn Anh, một tiền vệ cầm được bóng và biết điều tiết nhịp độ trận đấu, là cách lưỡng toàn của ông Park. Chúng ta vừa có thể phòng ngự một cách chủ động, vừa có thể phản công bất cứ lúc nào.",,"","",
